,Producto,Rolling Forecast RMSE,RMSE
0,VER0049,1.2817398889233114,1.6428571428571428
1,FRU0024,4.340835995848858,18.84285714285714
2,VER0041,1.4638501094227998,2.142857142857143
3,VER0038,6.6783231428256,44.6
4,VER0010,4.792851820307881,22.97142857142857
5,VER0052,8.953052153156646,80.15714285714286
6,TUB0012,3.340230958652838,11.157142857142857
7,VER0050,1.61245154965971,2.6
8,VER0043,0.4629100498862757,0.21428571428571427
9,VER0028,6.366205418345487,40.52857142857143
10,VER0020,0.35856858280031806,0.12857142857142856
11,VER0017,1.7687768170607134,3.1285714285714286
12,VER0016,2.632217967526897,6.928571428571429
13,VER0013,6.375175067624194,40.642857142857146
14,VER0007,3.056608765095256,9.342857142857143
15,TUB0010,0.20701966780270625,0.04285714285714286
16,TUB0009,0.7367883976130072,0.5428571428571428
17,TUB0006,1.0954451150103321,1.2
18,TUB0005,1.70293863659264,2.9
19,GRA0006,1.2705454396776663,1.6142857142857143
20,FRU0046,22.92067064588519,525.3571428571429
21,FRU0045,0.4140393356054125,0.17142857142857143
22,FRU0039,0.11952286093343936,0.014285714285714285
23,FRU0008,1.780850519113991,3.1714285714285713
24,FRU0003,0.9258200997725514,0.8571428571428571
25,VER0009,0.870139561876632,0.7571428571428571
26,VER0005,1.0350983390135313,1.0714285714285714
27,FRU0048,2.6886002731107927,7.228571428571429
28,FRU0033,0.933503385868831,0.8714285714285714
29,FRU0030,0.0,0.0
30,FRU0054,0.11952286093343936,0.014285714285714285
31,FRU0057,1.4142135623730951,2.0
32,VER0006,1.0555973258234952,1.1142857142857143
33,VER0035,7.308507762483783,53.41428571428571
34,FRU0016,1.4832396974191326,2.2
35,FRU0042,0.5732115042211109,0.32857142857142857
36,VER0012,8.073767044305544,65.18571428571428
37,VER0037,1.52127765851133,2.3142857142857145
38,VER0003,0.5345224838248488,0.2857142857142857
39,VER0002,0.3779644730092272,0.14285714285714285
40,TUB0008,0.4309458036856673,0.18571428571428572
41,TUB0001,0.5345224838248488,0.2857142857142857
42,FRU0034,1.4784161409137433,2.1857142857142855
43,FRU0020,0.0,0.0
44,FRU0005,0.0,0.0
45,FRU0002,1.6733200530681511,2.8
46,FRU0014,0.0,0.0
47,VER0024,2.6457513110645907,7.0
48,FRU0032,0.1690308509457033,0.02857142857142857
49,FRU0013,0.49280538030458115,0.24285714285714285
50,VER0014,1.0623424252901832,1.1285714285714286
51,FRU0029,1.439245834257849,2.0714285714285716
52,FRU0028,0.9636241116594315,0.9285714285714286
53,VER0033,0.6436503043467892,0.4142857142857143
54,TUB0004,0.5855400437691199,0.34285714285714286
55,FRU0025,0.6210590034081188,0.38571428571428573
56,FRU0031,0.20701966780270625,0.04285714285714286
57,FRU0022,0.23904572186687872,0.05714285714285714
58,VER0051,1.9086270308410553,3.642857142857143
59,VER0040,0.5477225575051661,0.3
60,FRU0038,0.1690308509457033,0.02857142857142857
61,FRU0023,0.23904572186687872,0.05714285714285714
62,VER0053,0.0,0.0
63,FRU0040,0.870139561876632,0.7571428571428571
64,VER0047,0.35856858280031806,0.12857142857142856
65,FRU0012,0.0,0.0
66,FRU0007,1.7566201313073597,3.085714285714286
67,GRA0001,0.3779644730092272,0.14285714285714285
68,FRU0027,0.11952286093343936,0.014285714285714285
69,VER0044,0.0,0.0
70,FRU0019,0.0,0.0
71,FRU0055,0.0,0.0
72,FRU0015,0.0,0.0
73,FRU0036,0.7837638128197258,0.6142857142857143
74,FRU0010,0.0,0.0
75,VER0026,0.0,0.0
76,VER0054,0.35856858280031806,0.12857142857142856
77,FRU0035,0.0,0.0
78,FRU0049,0.0,0.0
79,FRU0001,0.0,0.0
80,VER0015,1.0757057484009542,1.1571428571428573
81,TUB0011,0.23904572186687872,0.05714285714285714
82,FRU0051,0.5976143046671968,0.35714285714285715
83,FRU0018,0.11952286093343936,0.014285714285714285
84,FRU0047,0.5976143046671968,0.35714285714285715
85,TUB0013,0.11952286093343936,0.014285714285714285
86,VER0042,4.780914437337574,22.857142857142858
87,FRU0026,0.0,0.0
88,FRU0037,0.11952286093343936,0.014285714285714285
89,VER0039,0.23904572186687872,0.05714285714285714
90,VER0019,0.0,0.0
91,FRU0056,0.0,0.0
92,VER0004,0.11952286093343936,0.014285714285714285
93,FRU0053,0.0,0.0
94,FRU0017,0.23904572186687872,0.05714285714285714
95,FRU0009,0.0,0.0
96,VER050,0.0,0.0
97,VER0031,0.23904572186687872,0.05714285714285714
98,VER0022,0.9561828874675149,0.9142857142857143
99,VER0008,0.0,0.0
100,FRU0050,0.0,0.0
101,TUB0014,0.0,0.0
102,VER0018,0.23904572186687872,0.05714285714285714
103,VER0030,0.23904572186687872,0.05714285714285714
104,VER0029,0.0,0.0
105,VER0001,0.0,0.0
106,GRA0004,0.0,0.0
107,FRU0043,0.23904572186687872,0.05714285714285714
108,VER0027,2.980891525318271,8.885714285714286
109,TUB0007,0.23904572186687872,0.05714285714285714
110,VER0036,0.0,0.0
111,FRU0041,0.0,0.0
112,FRU0021,0.0,0.0
113,TUB0003,0.0,0.0
114,FRU0006,0.0,0.0
115,FRU0052,0.0,0.0
116,FRU0011,0.0,0.0
117,FRU0004,0.0,0.0
118,GRA0011,0.0,0.0
119,TUB0015,0.0,0.0
120,VER0112,0.0,0.0
